Statistic,Week,Mode_of_Transport,VALUE
Passenger Journeys,2020 Week 35,"All public transport, excluding LUAS",2124360.0
Passenger Journeys,2020 Week 36,Dublin Metro Bus,1580362.0
Passenger Journeys,2020 Week 36,"Bus, excluding Dublin Metro",418714.0
Passenger Journeys,2020 Week 36,Rail,332558.0
Passenger Journeys,2020 Week 36,"All public transport, excluding LUAS",2331634.0
Passenger Journeys,2020 Week 37,Dublin Metro Bus,1642110.0
Passenger Journeys,2020 Week 37,"Bus, excluding Dublin Metro",427899.0
Passenger Journeys,2020 Week 37,Rail,346681.0
Passenger Journeys,2020 Week 37,"All public transport, excluding LUAS",2416690.0
Passenger Journeys,2020 Week 38,Dublin Metro Bus,1578521.0
Passenger Journeys,2020 Week 38,"Bus, excluding Dublin Metro",432729.0
Passenger Journeys,2020 Week 38,Rail,323907.0
Passenger Journeys,2020 Week 38,"All public transport, excluding LUAS",2335157.0
Passenger Journeys,2020 Week 39,Dublin Metro Bus,1517678.0
Passenger Journeys,2020 Week 39,"Bus, excluding Dublin Metro",438357.0
Passenger Journeys,2020 Week 39,Rail,289803.0
Passenger Journeys,2020 Week 39,"All public transport, excluding LUAS",2245838.0
Passenger Journeys,2020 Week 40,Dublin Metro Bus,1489761.0
Passenger Journeys,2020 Week 40,"Bus, excluding Dublin Metro",435417.0
Passenger Journeys,2020 Week 40,Rail,284420.0
Passenger Journeys,2020 Week 40,"All public transport, excluding LUAS",2209598.0
Passenger Journeys,2020 Week 41,Dublin Metro Bus,1554561.0
Passenger Journeys,2020 Week 41,"Bus, excluding Dublin Metro",405986.0
Passenger Journeys,2020 Week 41,Rail,275531.0
Passenger Journeys,2020 Week 41,"All public transport, excluding LUAS",2236078.0
Passenger Journeys,2020 Week 42,Dublin Metro Bus,1535839.0
Passenger Journeys,2020 Week 42,"Bus, excluding Dublin Metro",382078.0
Passenger Journeys,2020 Week 42,Rail,263936.0
Passenger Journeys,2020 Week 42,"All public transport, excluding LUAS",2181853.0
Passenger Journeys,2020 Week 43,Dublin Metro Bus,1297841.0
Passenger Journeys,2020 Week 43,"Bus, excluding Dublin Metro",319938.0
Passenger Journeys,2020 Week 43,Rail,197097.0
Passenger Journeys,2020 Week 43,"All public transport, excluding LUAS",1814876.0
Passenger Journeys,2020 Week 44,Dublin Metro Bus,868428.0
Passenger Journeys,2020 Week 44,"Bus, excluding Dublin Metro",204748.0
Passenger Journeys,2020 Week 44,Rail,118406.0
Passenger Journeys,2020 Week 44,"All public transport, excluding LUAS",1191582.0
Passenger Journeys,2020 Week 45,Dublin Metro Bus,1163897.0
Passenger Journeys,2020 Week 45,"Bus, excluding Dublin Metro",289411.0
Passenger Journeys,2020 Week 45,Rail,181839.0
Passenger Journeys,2020 Week 45,"All public transport, excluding LUAS",1635147.0
Passenger Journeys,2020 Week 46,Dublin Metro Bus,1169742.0
Passenger Journeys,2020 Week 46,"Bus, excluding Dublin Metro",291201.0
Passenger Journeys,2020 Week 46,Rail,176067.0
Passenger Journeys,2020 Week 46,"All public transport, excluding LUAS",1637010.0
Passenger Journeys,2020 Week 47,Dublin Metro Bus,1207986.0
Passenger Journeys,2020 Week 47,"Bus, excluding Dublin Metro",302115.0
Passenger Journeys,2020 Week 47,Rail,197427.0
Passenger Journeys,2020 Week 47,"All public transport, excluding LUAS",1707528.0
Passenger Journeys,2020 Week 48,Dublin Metro Bus,1241445.0
Passenger Journeys,2020 Week 48,"Bus, excluding Dublin Metro",307535.0
Passenger Journeys,2020 Week 48,Rail,194005.0
Passenger Journeys,2020 Week 48,"All public transport, excluding LUAS",1742985.0
Passenger Journeys,2020 Week 49,Dublin Metro Bus,1586454.0
Passenger Journeys,2020 Week 49,"Bus, excluding Dublin Metro",407988.0
Passenger Journeys,2020 Week 49,Rail,295306.0
Passenger Journeys,2020 Week 49,"All public transport, excluding LUAS",2289748.0
Passenger Journeys,2020 Week 50,Dublin Metro Bus,1682988.0
Passenger Journeys,2020 Week 50,"Bus, excluding Dublin Metro",436740.0
Passenger Journeys,2020 Week 50,Rail,315393.0
Passenger Journeys,2020 Week 50,"All public transport, excluding LUAS",2435121.0
Passenger Journeys,2020 Week 51,Dublin Metro Bus,1745336.0
Passenger Journeys,2020 Week 51,"Bus, excluding Dublin Metro",444680.0
Passenger Journeys,2020 Week 51,Rail,322484.0
Passenger Journeys,2020 Week 51,"All public transport, excluding LUAS",2512500.0
Passenger Journeys,2020 Week 52,Dublin Metro Bus,1076018.0
Passenger Journeys,2020 Week 52,"Bus, excluding Dublin Metro",272410.0
Passenger Journeys,2020 Week 52,Rail,184982.0
Passenger Journeys,2020 Week 52,"All public transport, excluding LUAS",1533410.0
Passenger Journeys,2020 Week 53,Dublin Metro Bus,707458.0
Passenger Journeys,2020 Week 53,"Bus, excluding Dublin Metro",170366.0
Passenger Journeys,2020 Week 53,Rail,101951.0
Passenger Journeys,2020 Week 53,"All public transport, excluding LUAS",979775.0
Passenger Journeys,2021 Week 01,Dublin Metro Bus,747912.0
Passenger Journeys,2021 Week 01,"Bus, excluding Dublin Metro",184151.0
Passenger Journeys,2021 Week 01,Rail,107227.0
Passenger Journeys,2021 Week 01,"All public transport, excluding LUAS",1039290.0
Passenger Journeys,2021 Week 02,Dublin Metro Bus,735000.0
Passenger Journeys,2021 Week 02,"Bus, excluding Dublin Metro",184333.0
Passenger Journeys,2021 Week 02,Rail,90529.0
Passenger Journeys,2021 Week 02,"All public transport, excluding LUAS",1009862.0
Passenger Journeys,2021 Week 03,Dublin Metro Bus,731273.0
Passenger Journeys,2021 Week 03,"Bus, excluding Dublin Metro",184441.0
Passenger Journeys,2021 Week 03,Rail,93456.0
Passenger Journeys,2021 Week 03,"All public transport, excluding LUAS",1009170.0
Passenger Journeys,2021 Week 04,Dublin Metro Bus,742813.0
Passenger Journeys,2021 Week 04,"Bus, excluding Dublin Metro",189266.0
Passenger Journeys,2021 Week 04,Rail,93322.0
Passenger Journeys,2021 Week 04,"All public transport, excluding LUAS",1025401.0
Passenger Journeys,2021 Week 05,Dublin Metro Bus,791189.0
Passenger Journeys,2021 Week 05,"Bus, excluding Dublin Metro",201849.0
Passenger Journeys,2021 Week 05,Rail,105426.0
Passenger Journeys,2021 Week 05,"All public transport, excluding LUAS",1098464.0
Passenger Journeys,2021 Week 06,Dublin Metro Bus,775491.0
Passenger Journeys,2021 Week 06,"Bus, excluding Dublin Metro",198989.0
Passenger Journeys,2021 Week 06,Rail,96338.0
Passenger Journeys,2021 Week 06,"All public transport, excluding LUAS",1070818.0
Passenger Journeys,2021 Week 07,Dublin Metro Bus,849801.0
Passenger Journeys,2021 Week 07,"Bus, excluding Dublin Metro",210651.0
Passenger Journeys,2021 Week 07,Rail,114588.0
Passenger Journeys,2021 Week 07,"All public transport, excluding LUAS",1175040.0
Passenger Journeys,2021 Week 08,Dublin Metro Bus,884911.0
Passenger Journeys,2021 Week 08,"Bus, excluding Dublin Metro",218084.0
Passenger Journeys,2021 Week 08,Rail,127685.0
Passenger Journeys,2021 Week 08,"All public transport, excluding LUAS",1230680.0
Passenger Journeys,2021 Week 09,Dublin Metro Bus,947256.0
Passenger Journeys,2021 Week 09,"Bus, excluding Dublin Metro",240137.0
Passenger Journeys,2021 Week 09,Rail,142782.0
Passenger Journeys,2021 Week 09,"All public transport, excluding LUAS",1330175.0
Passenger Journeys,2021 Week 10,Dublin Metro Bus,945236.0
Passenger Journeys,2021 Week 10,"Bus, excluding Dublin Metro",239123.0
Passenger Journeys,2021 Week 10,Rail,134132.0
Passenger Journeys,2021 Week 10,"All public transport, excluding LUAS",1318491.0
Passenger Journeys,2021 Week 11,Dublin Metro Bus,963568.0
Passenger Journeys,2021 Week 11,"Bus, excluding Dublin Metro",246289.0
Passenger Journeys,2021 Week 11,Rail,144852.0
Passenger Journeys,2021 Week 11,"All public transport, excluding LUAS",1354709.0
Passenger Journeys,2021 Week 12,Dublin Metro Bus,1015358.0
Passenger Journeys,2021 Week 12,"Bus, excluding Dublin Metro",260235.0
Passenger Journeys,2021 Week 12,Rail,149153.0
Passenger Journeys,2021 Week 12,"All public transport, excluding LUAS",1424746.0
Passenger Journeys,2021 Week 13,Dublin Metro Bus,1007971.0
Passenger Journeys,2021 Week 13,"Bus, excluding Dublin Metro",259578.0
Passenger Journeys,2021 Week 13,Rail,172949.0
Passenger Journeys,2021 Week 13,"All public transport, excluding LUAS",1440498.0
Passenger Journeys,2021 Week 14,Dublin Metro Bus,911592.0
Passenger Journeys,2021 Week 14,"Bus, excluding Dublin Metro",239121.0
Passenger Journeys,2021 Week 14,Rail,144048.0
Passenger Journeys,2021 Week 14,"All public transport, excluding LUAS",1294761.0
Passenger Journeys,2021 Week 15,Dublin Metro Bus,1173468.0
Passenger Journeys,2021 Week 15,"Bus, excluding Dublin Metro",310154.0
Passenger Journeys,2021 Week 15,Rail,225466.0
Passenger Journeys,2021 Week 15,"All public transport, excluding LUAS",1709088.0
Passenger Journeys,2021 Week 16,Dublin Metro Bus,1227564.0
Passenger Journeys,2021 Week 16,"Bus, excluding Dublin Metro",326905.0
Passenger Journeys,2021 Week 16,Rail,264009.0
Passenger Journeys,2021 Week 16,"All public transport, excluding LUAS",1818478.0
Passenger Journeys,2021 Week 17,Dublin Metro Bus,1218011.0
Passenger Journeys,2021 Week 17,"Bus, excluding Dublin Metro",322352.0
Passenger Journeys,2021 Week 17,Rail,225261.0
Passenger Journeys,2021 Week 17,"All public transport, excluding LUAS",1765624.0
Passenger Journeys,2021 Week 18,Dublin Metro Bus,1096020.0
Passenger Journeys,2021 Week 18,"Bus, excluding Dublin Metro",287627.0
Passenger Journeys,2021 Week 18,Rail,216234.0
Passenger Journeys,2021 Week 18,"All public transport, excluding LUAS",1599881.0
Passenger Journeys,2021 Week 19,Dublin Metro Bus,1355893.0
Passenger Journeys,2021 Week 19,"Bus, excluding Dublin Metro",358853.0
Passenger Journeys,2021 Week 19,Rail,269055.0
Passenger Journeys,2021 Week 19,"All public transport, excluding LUAS",1983801.0
Passenger Journeys,2021 Week 20,Dublin Metro Bus,1471313.0
Passenger Journeys,2021 Week 20,"Bus, excluding Dublin Metro",391144.0
Passenger Journeys,2021 Week 20,Rail,274137.0
Passenger Journeys,2021 Week 20,"All public transport, excluding LUAS",2136594.0
Passenger Journeys,2021 Week 21,Dublin Metro Bus,1562407.0
Passenger Journeys,2021 Week 21,"Bus, excluding Dublin Metro",418633.0
Passenger Journeys,2021 Week 21,Rail,366784.0
Passenger Journeys,2021 Week 21,"All public transport, excluding LUAS",2347824.0
Passenger Journeys,2021 Week 22,Dublin Metro Bus,1547915.0
Passenger Journeys,2021 Week 22,"Bus, excluding Dublin Metro",418168.0
Passenger Journeys,2021 Week 22,Rail,393257.0
Passenger Journeys,2021 Week 22,"All public transport, excluding LUAS",2359340.0
Passenger Journeys,2021 Week 23,Dublin Metro Bus,1527611.0
Passenger Journeys,2021 Week 23,"Bus, excluding Dublin Metro",411324.0
Passenger Journeys,2021 Week 23,Rail,377568.0
Passenger Journeys,2021 Week 23,"All public transport, excluding LUAS",2316503.0
Passenger Journeys,2021 Week 24,Dublin Metro Bus,1623456.0
Passenger Journeys,2021 Week 24,"Bus, excluding Dublin Metro",446540.0
Passenger Journeys,2021 Week 24,Rail,371228.0
Passenger Journeys,2021 Week 24,"All public transport, excluding LUAS",2441224.0
Passenger Journeys,2021 Week 25,Dublin Metro Bus,1603926.0
Passenger Journeys,2021 Week 25,"Bus, excluding Dublin Metro",450941.0
Passenger Journeys,2021 Week 25,Rail,368609.0
Passenger Journeys,2021 Week 25,"All public transport, excluding LUAS",2423476.0
Passenger Journeys,2021 Week 26,Dublin Metro Bus,1586039.0
Passenger Journeys,2021 Week 26,"Bus, excluding Dublin Metro",447514.0
Passenger Journeys,2021 Week 26,Rail,399131.0
Passenger Journeys,2021 Week 26,"All public transport, excluding LUAS",2432684.0
Passenger Journeys,2021 Week 27,Dublin Metro Bus,1558866.0
Passenger Journeys,2021 Week 27,"Bus, excluding Dublin Metro",441652.0
Passenger Journeys,2021 Week 27,Rail,359807.0
Passenger Journeys,2021 Week 27,"All public transport, excluding LUAS",2360325.0
Passenger Journeys,2021 Week 28,Dublin Metro Bus,1623323.0
Passenger Journeys,2021 Week 28,"Bus, excluding Dublin Metro",466323.0
Passenger Journeys,2021 Week 28,Rail,455660.0
Passenger Journeys,2021 Week 28,"All public transport, excluding LUAS",2545306.0
Passenger Journeys,2021 Week 29,Dublin Metro Bus,1629341.0
Passenger Journeys,2021 Week 29,"Bus, excluding Dublin Metro",465320.0
Passenger Journeys,2021 Week 29,Rail,466402.0
Passenger Journeys,2021 Week 29,"All public transport, excluding LUAS",2561063.0
Passenger Journeys,2021 Week 30,Dublin Metro Bus,1595175.0
Passenger Journeys,2021 Week 30,"Bus, excluding Dublin Metro",449602.0
Passenger Journeys,2021 Week 30,Rail,387647.0
Passenger Journeys,2021 Week 30,"All public transport, excluding LUAS",2432424.0
Passenger Journeys,2021 Week 31,Dublin Metro Bus,1509235.0
Passenger Journeys,2021 Week 31,"Bus, excluding Dublin Metro",410910.0
Passenger Journeys,2021 Week 31,Rail,386299.0
Passenger Journeys,2021 Week 31,"All public transport, excluding LUAS",2306444.0
Passenger Journeys,2021 Week 32,Dublin Metro Bus,1636634.0
Passenger Journeys,2021 Week 32,"Bus, excluding Dublin Metro",457401.0
Passenger Journeys,2021 Week 32,Rail,402833.0
Passenger Journeys,2021 Week 32,"All public transport, excluding LUAS",2496868.0
Passenger Journeys,2021 Week 33,Dublin Metro Bus,1655260.0
Passenger Journeys,2021 Week 33,"Bus, excluding Dublin Metro",459631.0
Passenger Journeys,2021 Week 33,Rail,396685.0
Passenger Journeys,2021 Week 33,"All public transport, excluding LUAS",2511576.0
Passenger Journeys,2021 Week 34,Dublin Metro Bus,1766188.0
Passenger Journeys,2021 Week 34,"Bus, excluding Dublin Metro",505692.0
Passenger Journeys,2021 Week 34,Rail,475258.0
Passenger Journeys,2021 Week 34,"All public transport, excluding LUAS",2747138.0
Passenger Journeys,2021 Week 35,Dublin Metro Bus,1849382.0
Passenger Journeys,2021 Week 35,"Bus, excluding Dublin Metro",507106.0
Passenger Journeys,2021 Week 35,Rail,445064.0
Passenger Journeys,2021 Week 35,"All public transport, excluding LUAS",2801552.0
Passenger Journeys,2021 Week 36,Dublin Metro Bus,1919743.0
Passenger Journeys,2021 Week 36,"Bus, excluding Dublin Metro",527134.0
Passenger Journeys,2021 Week 36,Rail,454290.0
Passenger Journeys,2021 Week 36,"All public transport, excluding LUAS",2901167.0
Passenger Journeys,2021 Week 37,Dublin Metro Bus,1996559.0
Passenger Journeys,2021 Week 37,"Bus, excluding Dublin Metro",544763.0
Passenger Journeys,2021 Week 37,Rail,430036.0
Passenger Journeys,2021 Week 37,"All public transport, excluding LUAS",2971358.0
Passenger Journeys,2021 Week 38,Dublin Metro Bus,2133682.0
Passenger Journeys,2021 Week 38,"Bus, excluding Dublin Metro",578850.0
Passenger Journeys,2021 Week 38,Rail,481469.0
Passenger Journeys,2021 Week 38,"All public transport, excluding LUAS",3194001.0
Passenger Journeys,2021 Week 39,Dublin Metro Bus,2200701.0
Passenger Journeys,2021 Week 39,"Bus, excluding Dublin Metro",604775.0
Passenger Journeys,2021 Week 39,Rail,516121.0
Passenger Journeys,2021 Week 39,"All public transport, excluding LUAS",3321597.0
Passenger Journeys,2021 Week 40,Dublin Metro Bus,2247599.0
Passenger Journeys,2021 Week 40,"Bus, excluding Dublin Metro",601080.0
Passenger Journeys,2021 Week 40,Rail,523639.0
Passenger Journeys,2021 Week 40,"All public transport, excluding LUAS",3372318.0
Passenger Journeys,2021 Week 41,Dublin Metro Bus,2247417.0
Passenger Journeys,2021 Week 41,"Bus, excluding Dublin Metro",613892.0
Passenger Journeys,2021 Week 41,Rail,524870.0
Passenger Journeys,2021 Week 41,"All public transport, excluding LUAS",3386179.0
Passenger Journeys,2021 Week 42,Dublin Metro Bus,2260213.0
Passenger Journeys,2021 Week 42,"Bus, excluding Dublin Metro",609960.0
Passenger Journeys,2021 Week 42,Rail,462006.0
Passenger Journeys,2021 Week 42,"All public transport, excluding LUAS",3332179.0
Passenger Journeys,2021 Week 43,Dublin Metro Bus,1815542.0
Passenger Journeys,2021 Week 43,"Bus, excluding Dublin Metro",501525.0
Passenger Journeys,2021 Week 43,Rail,440154.0
Passenger Journeys,2021 Week 43,"All public transport, excluding LUAS",2757221.0
Passenger Journeys,2021 Week 44,Dublin Metro Bus,2239515.0
Passenger Journeys,2021 Week 44,"Bus, excluding Dublin Metro",588321.0
Passenger Journeys,2021 Week 44,Rail,569327.0
Passenger Journeys,2021 Week 44,"All public transport, excluding LUAS",3397163.0
Passenger Journeys,2021 Week 45,Dublin Metro Bus,2258734.0
Passenger Journeys,2021 Week 45,"Bus, excluding Dublin Metro",592538.0
Passenger Journeys,2021 Week 45,Rail,570080.0
Passenger Journeys,2021 Week 45,"All public transport, excluding LUAS",3421352.0
Passenger Journeys,2021 Week 46,Dublin Metro Bus,2218390.0
Passenger Journeys,2021 Week 46,"Bus, excluding Dublin Metro",598813.0
Passenger Journeys,2021 Week 46,Rail,509671.0
Passenger Journeys,2021 Week 46,"All public transport, excluding LUAS",3326874.0
Passenger Journeys,2021 Week 47,Dublin Metro Bus,2159300.0
Passenger Journeys,2021 Week 47,"Bus, excluding Dublin Metro",573025.0
Passenger Journeys,2021 Week 47,Rail,465963.0
Passenger Journeys,2021 Week 47,"All public transport, excluding LUAS",3198288.0
Passenger Journeys,2021 Week 48,Dublin Metro Bus,2126792.0
Passenger Journeys,2021 Week 48,"Bus, excluding Dublin Metro",545762.0
Passenger Journeys,2021 Week 48,Rail,465590.0
Passenger Journeys,2021 Week 48,"All public transport, excluding LUAS",3138144.0
Passenger Journeys,2021 Week 49,Dublin Metro Bus,1910575.0
Passenger Journeys,2021 Week 49,"Bus, excluding Dublin Metro",478897.0
Passenger Journeys,2021 Week 49,Rail,417041.0
Passenger Journeys,2021 Week 49,"All public transport, excluding LUAS",2806513.0
Passenger Journeys,2021 Week 50,Dublin Metro Bus,2173422.0
Passenger Journeys,2021 Week 50,"Bus, excluding Dublin Metro",586228.0
Passenger Journeys,2021 Week 50,Rail,477149.0
Passenger Journeys,2021 Week 50,"All public transport, excluding LUAS",3236799.0
Passenger Journeys,2021 Week 51,Dublin Metro Bus,1496396.0
Passenger Journeys,2021 Week 51,"Bus, excluding Dublin Metro",396284.0
Passenger Journeys,2021 Week 51,Rail,278965.0
Passenger Journeys,2021 Week 51,"All public transport, excluding LUAS",2171645.0
Passenger Journeys,2021 Week 52,Dublin Metro Bus,1099282.0
Passenger Journeys,2021 Week 52,"Bus, excluding Dublin Metro",289588.0
Passenger Journeys,2021 Week 52,Rail,243709.0
Passenger Journeys,2021 Week 52,"All public transport, excluding LUAS",1632579.0
Passenger Journeys,2021 Week 53,Dublin Metro Bus,
Passenger Journeys,2021 Week 53,"Bus, excluding Dublin Metro",
Passenger Journeys,2021 Week 53,Rail,
Passenger Journeys,2021 Week 53,"All public transport, excluding LUAS",
Passenger Journeys,2022 Week 01,Dublin Metro Bus,1406243.0
Passenger Journeys,2022 Week 01,"Bus, excluding Dublin Metro",365503.0
Passenger Journeys,2022 Week 01,Rail,288051.0
Passenger Journeys,2022 Week 01,"All public transport, excluding LUAS",2059797.0
Passenger Journeys,2022 Week 02,Dublin Metro Bus,1779235.0
Passenger Journeys,2022 Week 02,"Bus, excluding Dublin Metro",475432.0
Passenger Journeys,2022 Week 02,Rail,357666.0
Passenger Journeys,2022 Week 02,"All public transport, excluding LUAS",2612333.0
Passenger Journeys,2022 Week 03,Dublin Metro Bus,1966074.0
Passenger Journeys,2022 Week 03,"Bus, excluding Dublin Metro",519750.0
Passenger Journeys,2022 Week 03,Rail,399947.0
Passenger Journeys,2022 Week 03,"All public transport, excluding LUAS",2885771.0
Passenger Journeys,2022 Week 04,Dublin Metro Bus,2109953.0
Passenger Journeys,2022 Week 04,"Bus, excluding Dublin Metro",550396.0
Passenger Journeys,2022 Week 04,Rail,453379.0
Passenger Journeys,2022 Week 04,"All public transport, excluding LUAS",3113728.0
Passenger Journeys,2022 Week 05,Dublin Metro Bus,2180251.0
Passenger Journeys,2022 Week 05,"Bus, excluding Dublin Metro",562335.0
Passenger Journeys,2022 Week 05,Rail,524640.0
Passenger Journeys,2022 Week 05,"All public transport, excluding LUAS",3267226.0
Passenger Journeys,2022 Week 06,Dublin Metro Bus,2222594.0
Passenger Journeys,2022 Week 06,"Bus, excluding Dublin Metro",582446.0
Passenger Journeys,2022 Week 06,Rail,477140.0
Passenger Journeys,2022 Week 06,"All public transport, excluding LUAS",3282180.0
Passenger Journeys,2022 Week 07,Dublin Metro Bus,2145226.0
Passenger Journeys,2022 Week 07,"Bus, excluding Dublin Metro",527018.0
Passenger Journeys,2022 Week 07,Rail,471325.0
Passenger Journeys,2022 Week 07,"All public transport, excluding LUAS",3143569.0
Passenger Journeys,2022 Week 08,Dublin Metro Bus,2104859.0
Passenger Journeys,2022 Week 08,"Bus, excluding Dublin Metro",543279.0
Passenger Journeys,2022 Week 08,Rail,533442.0
Passenger Journeys,2022 Week 08,"All public transport, excluding LUAS",3181580.0
Passenger Journeys,2022 Week 09,Dublin Metro Bus,2393755.0
Passenger Journeys,2022 Week 09,"Bus, excluding Dublin Metro",612819.0
Passenger Journeys,2022 Week 09,Rail,589825.0
Passenger Journeys,2022 Week 09,"All public transport, excluding LUAS",3596399.0
Passenger Journeys,2022 Week 10,Dublin Metro Bus,2300757.0
Passenger Journeys,2022 Week 10,"Bus, excluding Dublin Metro",572414.0
Passenger Journeys,2022 Week 10,Rail,507442.0
Passenger Journeys,2022 Week 10,"All public transport, excluding LUAS",3380613.0
Passenger Journeys,2022 Week 11,Dublin Metro Bus,2121172.0
Passenger Journeys,2022 Week 11,"Bus, excluding Dublin Metro",540807.0
Passenger Journeys,2022 Week 11,Rail,580364.0
Passenger Journeys,2022 Week 11,"All public transport, excluding LUAS",3242343.0
Passenger Journeys,2022 Week 12,Dublin Metro Bus,2432024.0
Passenger Journeys,2022 Week 12,"Bus, excluding Dublin Metro",608648.0
Passenger Journeys,2022 Week 12,Rail,598637.0
Passenger Journeys,2022 Week 12,"All public transport, excluding LUAS",3639309.0
Passenger Journeys,2022 Week 13,Dublin Metro Bus,2371286.0
Passenger Journeys,2022 Week 13,"Bus, excluding Dublin Metro",591604.0
Passenger Journeys,2022 Week 13,Rail,602411.0
Passenger Journeys,2022 Week 13,"All public transport, excluding LUAS",3565301.0
Passenger Journeys,2022 Week 14,Dublin Metro Bus,2450481.0
Passenger Journeys,2022 Week 14,"Bus, excluding Dublin Metro",616574.0
Passenger Journeys,2022 Week 14,Rail,581420.0
Passenger Journeys,2022 Week 14,"All public transport, excluding LUAS",3648475.0
Passenger Journeys,2022 Week 15,Dublin Metro Bus,2266854.0
Passenger Journeys,2022 Week 15,"Bus, excluding Dublin Metro",556672.0
Passenger Journeys,2022 Week 15,Rail,557169.0
